% psi, re(u), im(u), abs(u), re(w), im(w), abs(w)
 144.00 -0.112600E-002  0.154643E-003  0.113657E-002  0.813176E-003 -0.105446E-003  0.819984E-003
 144.50 -0.117122E-002  0.213813E-003  0.119058E-002  0.851257E-003 -0.157125E-003  0.865636E-003
 145.00 -0.110912E-002  0.244855E-003  0.113583E-002  0.768588E-003 -0.175477E-003  0.788365E-003
 145.50 -0.115050E-002  0.255992E-003  0.117863E-002  0.804362E-003 -0.172212E-003  0.822591E-003
 146.00 -0.110124E-002  0.314367E-003  0.114523E-002  0.737501E-003 -0.221533E-003  0.770055E-003
 146.50 -0.112520E-002  0.306894E-003  0.116630E-002  0.755151E-003 -0.196794E-003  0.780372E-003
 147.00 -0.108572E-002  0.368049E-003  0.114641E-002  0.700834E-003 -0.249333E-003  0.743865E-003
 147.50 -0.110403E-002  0.359863E-003  0.116120E-002  0.713479E-003 -0.223733E-003  0.747736E-003
 148.00 -0.106148E-002  0.410814E-003  0.113821E-002  0.657177E-003 -0.264776E-003  0.708511E-003
 148.50 -0.108471E-002  0.414181E-003  0.116109E-002  0.676641E-003 -0.252485E-003  0.722213E-003
 149.00 -0.103536E-002  0.441721E-003  0.112565E-002  0.614170E-003 -0.267141E-003  0.669753E-003
 149.50 -0.105754E-002  0.470569E-003  0.115750E-002  0.633514E-003 -0.284046E-003  0.694278E-003
