 % the field is all
% Dinn5 settings , t1, t2, t3, t4, tm, tp, eps, step, IntLimit
%   0.105932E+001  0.105932E+001  0.105932E+001  0.369393E+001  0.200000E-001  0.000000E+000  0.100000E-005  0.100000E-001  0.100000E+006
%psi, R, x, z, re(u), im(u), abs(u), re(w), im(w), abs(w), fieldCode, cp(1), cp(2), cs(1), cs(2), rho(1), rho(2), h, w
  0.411843E+003  0.890225E+001  0.550000E+001 -0.300000E+001  0.591626E-004  0.475873E-003  0.479537E-003  0.186654E-003  0.592976E-004  0.195847E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.411340E+003  0.896437E+001  0.560000E+001 -0.300000E+001  0.988971E-005  0.476924E-003  0.477027E-003  0.161285E-003  0.102698E-003  0.191206E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.410845E+003  0.902718E+001  0.570000E+001 -0.300000E+001 -0.400730E-004  0.473847E-003  0.475538E-003  0.126852E-003  0.138722E-003  0.187977E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.410356E+003  0.909065E+001  0.580000E+001 -0.300000E+001 -0.905977E-004  0.466286E-003  0.475006E-003  0.851789E-004  0.165518E-003  0.186149E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.409874E+003  0.915478E+001  0.590000E+001 -0.300000E+001 -0.141713E-003  0.453854E-003  0.475464E-003  0.382313E-004  0.181681E-003  0.185660E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.409399E+003  0.921954E+001  0.600000E+001 -0.300000E+001 -0.192637E-003  0.436437E-003  0.477060E-003 -0.111117E-004  0.186591E-003  0.186922E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.408930E+003  0.928493E+001  0.610000E+001 -0.300000E+001 -0.242939E-003  0.413233E-003  0.479354E-003 -0.602685E-004  0.179576E-003  0.189420E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.408468E+003  0.935094E+001  0.620000E+001 -0.300000E+001 -0.292000E-003  0.383838E-003  0.482282E-003 -0.106587E-003  0.160896E-003  0.192998E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.408013E+003  0.941754E+001  0.630000E+001 -0.300000E+001 -0.338984E-003  0.347911E-003  0.485749E-003 -0.147461E-003  0.131400E-003  0.197512E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.407564E+003  0.948472E+001  0.640000E+001 -0.300000E+001 -0.382879E-003  0.305232E-003  0.489656E-003 -0.180489E-003  0.925117E-004  0.202817E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
