 % the field is uss
 %psi, R, x, z, re(u), im(u), abs(u), re(w), im(w), abs(w)
  0.824632E+001  0.139442E+002  0.138000E+002  0.000000E+000  0.206292E-003  0.526807E-003  0.565758E-003  0.277026E-003 -0.422828E-002  0.423734E-002
  0.818780E+001  0.140431E+002  0.139000E+002  0.000000E+000 -0.438381E-004 -0.377227E-003  0.379765E-003 -0.156546E-003  0.409602E-002  0.409901E-002
  0.813010E+001  0.141421E+002  0.140000E+002  0.000000E+000 -0.105999E-003  0.502693E-003  0.513747E-003  0.403908E-004 -0.415852E-002  0.415872E-002
  0.807320E+001  0.142411E+002  0.141000E+002  0.000000E+000  0.145290E-004 -0.689389E-003  0.689542E-003  0.255553E-003  0.427288E-002  0.428051E-002
  0.801709E+001  0.143402E+002  0.142000E+002  0.000000E+000  0.202808E-003  0.701946E-003  0.730657E-003 -0.666744E-003 -0.423934E-002  0.429145E-002
  0.796175E+001  0.144392E+002  0.143000E+002  0.000000E+000 -0.337516E-003 -0.546063E-003  0.641952E-003  0.100929E-002  0.403771E-002  0.416195E-002
  0.790716E+001  0.145382E+002  0.144000E+002  0.000000E+000  0.297653E-003  0.376154E-003  0.479676E-003 -0.118918E-002 -0.380592E-002  0.398738E-002
  0.785331E+001  0.146373E+002  0.145000E+002  0.000000E+000 -0.166825E-003 -0.348328E-003  0.386216E-003  0.127742E-002  0.368344E-002  0.389866E-002
  0.780019E+001  0.147363E+002  0.146000E+002  0.000000E+000  0.117978E-003  0.453699E-003  0.468787E-003 -0.142134E-002 -0.367187E-002  0.393737E-002
  0.774777E+001  0.148354E+002  0.147000E+002  0.000000E+000 -0.208505E-003 -0.552769E-003  0.590786E-003  0.168713E-002  0.365233E-002  0.402318E-002
  0.769605E+001  0.149345E+002  0.148000E+002  0.000000E+000  0.374692E-003  0.540024E-003  0.657282E-003 -0.201366E-002 -0.351111E-002  0.404756E-002
  0.764501E+001  0.150336E+002  0.149000E+002  0.000000E+000 -0.487503E-003 -0.377664E-003  0.616676E-003  0.226398E-002  0.323238E-002  0.394638E-002
  0.759464E+001  0.151327E+002  0.150000E+002  0.000000E+000  0.403827E-003  0.190743E-003  0.446609E-003 -0.234128E-002 -0.294665E-002  0.376356E-002
  0.754493E+001  0.152319E+002  0.151000E+002  0.000000E+000 -0.218593E-003 -0.208771E-003  0.302272E-003  0.234117E-002  0.281735E-002  0.366313E-002
  0.749586E+001  0.153310E+002  0.152000E+002  0.000000E+000  0.210741E-003  0.387270E-003  0.440896E-003 -0.246519E-002 -0.280308E-002  0.373288E-002
  0.744742E+001  0.154302E+002  0.153000E+002  0.000000E+000 -0.397469E-003 -0.443947E-003  0.595879E-003  0.273385E-002  0.269792E-002  0.384093E-002
  0.739959E+001  0.155293E+002  0.154000E+002  0.000000E+000  0.538030E-003  0.299391E-003  0.615720E-003 -0.296925E-002 -0.242195E-002  0.383175E-002
  0.735238E+001  0.156285E+002  0.155000E+002  0.000000E+000 -0.501293E-003 -0.118307E-003  0.515064E-003  0.304474E-002  0.209778E-002  0.369745E-002
  0.730576E+001  0.157277E+002  0.156000E+002  0.000000E+000  0.358610E-003  0.629674E-004  0.364096E-003 -0.301105E-002 -0.187579E-002  0.354754E-002
  0.725972E+001  0.158269E+002  0.157000E+002  0.000000E+000 -0.275773E-003 -0.152325E-003  0.315046E-003  0.301342E-002  0.177747E-002  0.349859E-002
  0.721426E+001  0.159261E+002  0.158000E+002  0.000000E+000  0.340214E-003  0.246716E-003  0.420255E-003 -0.313014E-002 -0.168962E-002  0.355705E-002
  0.716936E+001  0.160253E+002  0.159000E+002  0.000000E+000 -0.464452E-003 -0.224881E-003  0.516030E-003  0.329967E-002  0.150215E-002  0.362550E-002
  0.712502E+001  0.161245E+002  0.160000E+002  0.000000E+000  0.532673E-003  0.104569E-003  0.542840E-003 -0.340904E-002 -0.121392E-002  0.361872E-002
  0.708121E+001  0.162237E+002  0.161000E+002  0.000000E+000 -0.487624E-003  0.395308E-004  0.489223E-003  0.339382E-002  0.911679E-003  0.351414E-002
