 % the field is ups
 %psi, re(u), im(u), abs(u), re(w), im(w), abs(w)
 105.00 -0.509720E-003 -0.801004E-003  0.949432E-003 -0.139161E-003 -0.185857E-003  0.232182E-003
 105.50 -0.616554E-003 -0.803668E-003  0.101293E-002 -0.170238E-003 -0.190883E-003  0.255768E-003
 106.00 -0.734131E-003 -0.793075E-003  0.108070E-002 -0.205548E-003 -0.192233E-003  0.281432E-003
 106.50 -0.861964E-003 -0.766015E-003  0.115315E-002 -0.245126E-003 -0.188725E-003  0.309360E-003
 107.00 -0.998973E-003 -0.718817E-003  0.123071E-002 -0.288802E-003 -0.178967E-003  0.339758E-003
 107.50 -0.114328E-002 -0.647354E-003  0.131383E-002 -0.336125E-003 -0.161350E-003  0.372845E-003
 108.00 -0.129194E-002 -0.547099E-003  0.140301E-002 -0.386251E-003 -0.134059E-003  0.408854E-003
 108.50 -0.144063E-002 -0.413258E-003  0.149873E-002 -0.437812E-003 -0.951193E-004  0.448026E-003
 109.00 -0.158324E-002 -0.241017E-003  0.160148E-002 -0.488762E-003 -0.424759E-004  0.490604E-003
 109.50 -0.171151E-002 -0.259621E-004  0.171170E-002 -0.536200E-003  0.258498E-004  0.536823E-003
 110.00 -0.181458E-002  0.235270E-003  0.182977E-002 -0.576200E-003  0.111518E-003  0.586893E-003
 110.50 -0.187871E-002  0.544040E-003  0.195590E-002 -0.603663E-003  0.215510E-003  0.640979E-003
 111.00 -0.188720E-002  0.898393E-003  0.209013E-002 -0.612257E-003  0.337617E-003  0.699174E-003
 111.50 -0.182072E-002  0.129137E-002  0.223219E-002 -0.594518E-003  0.475789E-003  0.761464E-003
 112.00 -0.165842E-002  0.170904E-002  0.238142E-002 -0.542218E-003  0.625349E-003  0.827685E-003
 112.50 -0.138006E-002  0.212841E-002  0.253667E-002 -0.447137E-003  0.778158E-003  0.897475E-003
 113.00 -0.969463E-003  0.251582E-002  0.269614E-002 -0.302357E-003  0.921906E-003  0.970221E-003
 113.50 -0.419569E-003  0.282633E-002  0.285730E-002 -0.104152E-003  0.103980E-002  0.104500E-002
 114.00  0.261262E-003  0.300540E-002  0.301674E-002  0.145571E-003  0.111103E-002  0.112053E-002
 114.50  0.104238E-002  0.299384E-002  0.317012E-002  0.436565E-003  0.111252E-002  0.119511E-002
 115.00  0.186513E-002  0.273705E-002  0.331212E-002  0.747884E-003  0.102226E-002  0.126663E-002
 115.50  0.264096E-002  0.219884E-002  0.343651E-002  0.104683E-002  0.824466E-003  0.133251E-002
 116.00  0.325654E-002  0.137835E-002  0.353623E-002  0.129046E-002  0.516075E-003  0.138983E-002
 116.50  0.358889E-002  0.326422E-003  0.360370E-002  0.143085E-002  0.113244E-003  0.143532E-002
 117.00  0.353156E-002 -0.844821E-003  0.363121E-002  0.142459E-002 -0.344369E-003  0.146562E-002
 117.50  0.302878E-002 -0.196691E-002  0.361140E-002  0.124563E-002 -0.794478E-003  0.147743E-002
 118.00  0.210879E-002 -0.284090E-002  0.353804E-002  0.898398E-003 -0.116078E-002  0.146783E-002
 118.50  0.902423E-003 -0.328508E-002  0.340677E-002  0.426133E-003 -0.136994E-002  0.143469E-002
 119.00 -0.368649E-003 -0.319492E-002  0.321611E-002 -0.914836E-004 -0.137400E-002  0.137704E-002
 119.50 -0.144286E-002 -0.259416E-002  0.296842E-002 -0.555104E-003 -0.117067E-002  0.129561E-002
 120.00 -0.210137E-002 -0.164887E-002  0.267105E-002 -0.875040E-003 -0.811367E-003  0.119332E-002
 120.50 -0.225318E-002 -0.622974E-003  0.233772E-002 -0.100327E-002 -0.388465E-003  0.107585E-002
 121.00 -0.197794E-002  0.221210E-003  0.199027E-002 -0.952232E-003 -0.185132E-005  0.952234E-003
 121.50 -0.148865E-002  0.737428E-003  0.166129E-002 -0.786093E-003  0.282152E-003  0.835196E-003
 122.00 -0.101525E-002  0.958161E-003  0.139600E-002 -0.583198E-003  0.456161E-003  0.740407E-003
 122.50 -0.667319E-003  0.104986E-002  0.124400E-002 -0.388740E-003  0.560807E-003  0.682366E-003
 123.00 -0.372945E-003  0.116773E-002  0.122584E-002 -0.191264E-003  0.638027E-003  0.666078E-003
 123.50  0.374287E-004  0.130338E-002  0.130391E-002  0.516070E-004  0.679653E-003  0.681610E-003
 124.00  0.637164E-003  0.125964E-002  0.141162E-002  0.348456E-003  0.618245E-003  0.709682E-003
 124.50  0.125255E-002  0.816370E-003  0.149511E-002  0.622763E-003  0.384143E-003  0.731710E-003
 125.00  0.152314E-002 -0.163340E-004  0.152323E-002  0.734952E-003 -0.559064E-005  0.734973E-003
 125.50  0.118510E-002 -0.891494E-003  0.148298E-002  0.584522E-003 -0.408707E-003  0.713237E-003
 126.00  0.353772E-003 -0.132834E-002  0.137464E-002  0.214966E-003 -0.630283E-003  0.665933E-003
 126.50 -0.494522E-003 -0.110316E-002  0.120893E-002 -0.186980E-003 -0.567282E-003  0.597302E-003
 127.00 -0.895456E-003 -0.457973E-003  0.100577E-002 -0.423460E-003 -0.294631E-003  0.515874E-003
 127.50 -0.784685E-003  0.129446E-003  0.795291E-003 -0.434260E-003  0.491404E-005  0.434287E-003
 128.00 -0.472864E-003  0.404027E-003  0.621964E-003 -0.307450E-003  0.203543E-003  0.368721E-003
 128.50 -0.222085E-003  0.493727E-003  0.541376E-003 -0.144271E-003  0.301708E-003  0.334428E-003
 129.00  0.353481E-004  0.570026E-003  0.571121E-003  0.426289E-004  0.331689E-003  0.334417E-003
